"","X2020.12","X2021.12"
"매출액",3283,5102
"매출원가",2731,4066
"매출총이익",552,1036
"판매비와관리비",439,550
"인건비",90,139
"유무형자산상각비",50,47
"연구개발비",4,5
"광고선전비",22,29
"판매비",221,264
"관리비",50,65
"기타원가성비용",NA,NA
"기타",1,1
"영업이익",113,486
"영업이익(발표기준)",113,486
"금융수익",24,347
"이자수익",2,4
"배당금수익",0,0
"외환이익",3,10
"대손충당금환입액",NA,NA
"매출채권처분이익",NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA
"금융자산처분이익",NA,NA
"금융자산평가이익",19,334
"금융자산손상차손환입",NA,NA
"파생상품이익",NA,NA
"기타금융수익",NA,NA
"금융원가",23,13
"이자비용",2,2
"외환손실",4,6
"대손상각비",NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA
"매출채권처분손실",NA,NA
"금융자산처분손실",NA,NA
"금융자산평가손실",17,5
"금융자산손상차손",NA,NA
"파생상품손실",NA,NA
"기타금융원가",NA,NA
"기타수익",15,31
"재고자산감모손실환입",NA,NA
"재고자산폐기(처분)이익",NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA
"자산처분(폐기)이익",11,18
"자산평가이익",NA,NA
"자산손상차손환입",NA,NA
"임대료수익",NA,NA
"로열티수익",NA,NA
"수수료수익",NA,NA
"대손충당금환입",NA,NA
"충당부채환입액",NA,NA
"기타비용",2,19
"재고자산감모손실",NA,NA
"재고자산폐기(처분)손실",NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA
"자산처분(폐기)손실",0,2
"자산평가손실",NA,NA
"자산손상차손",NA,8
"기타대손상각비",NA,NA
"충당부채전입액",NA,NA
"종속기업,공동지배기업및관계기업관련손익",NA,NA
"지분법손익",NA,NA
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA
"세전계속사업이익",127,832
"법인세비용",24,173
"계속영업이익",102,659
"중단영업이익",NA,NA
"당기순이익",102,659
"지배주주순이익",110,657
"비지배주주순이익",-8,2
"자산",3575,4231
"유동자산",1873,2277
"재고자산",803,942
"유동생물자산",NA,NA
"유동금융자산",10,49
"매출채권및기타유동채권",470,503
"당기법인세자산",0,NA
"계약자산",NA,NA
"반품(환불)자산",NA,NA
"배출권",NA,NA
"기타유동자산",6,4
"현금및현금성자산",583,779
"매각예정비유동자산및처분자산집단",NA,NA
"비유동자산",1703,1954
"유형자산",1254,1241
"무형자산",96,94
"비유동생물자산",NA,NA
"투자부동산",NA,NA
"장기금융자산",153,449
"관계기업등지분관련투자자산",NA,NA
"장기매출채권및기타비유동채권",100,100
"이연법인세자산",48,53
"장기당기법인세자산",NA,NA
"기타비유동자산",52,18
"기타금융업자산",NA,NA
"부채",731,762
"유동부채",656,627
"단기사채",NA,NA
"단기차입금",2,NA
"유동성장기부채",NA,NA
"유동금융부채",30,16
"매입채무및기타유동채무",459,389
"유동종업원급여충당부채",NA,NA
"기타단기충당부채",NA,NA
"당기법인세부채",30,91
"계약부채",131,122
"반품(환불)부채",NA,NA
"배출부채",NA,NA
"기타유동부채",4,8
"매각예정으로분류된처분자산집단에포함된부채",NA,NA
"비유동부채",75,135
"사채",NA,NA
"장기차입금",NA,NA
"비유동금융부채",16,9
"장기매입채무및기타비유동채무",1,0
"비유동종업원급여충당부채",37,32
"기타장기충당부채",NA,NA
"이연법인세부채",22,94
"장기당기법인세부채",NA,NA
"기타비유동부채",NA,NA
"기타금융업부채",NA,NA
"자본",2844,3469
"지배기업주주지분",2766,3389
"자본금",120,120
"신종자본증권",NA,NA
"자본잉여금",972,972
"기타자본",-27,-27
"기타포괄손익누계액",-18,-10
"이익잉여금(결손금)",1719,2333
"비지배주주지분",78,80
"영업활동으로인한현금흐름",617,297
"당기순손익",102,659
"법인세비용차감전계속사업이익",NA,NA
"현금유출이없는비용등가산",145,300
"퇴직급여",17,22
"종업원급여",1,NA
"주식보상비",NA,NA
"감가상각비",78,85
"무형자산상각비",3,3
"계약부채전입액",NA,NA
"반품(환불)부채전입액",NA,NA
"배출부채전입액",NA,NA
"기타의대손상각비",NA,NA
"배당금지급",NA,NA
"금융부채관련손실",NA,NA
