"","X2019.12","X2020.12","X2021.12","X2022.12"
"매출액",643668,577928,763323,847502
"매출원가",581165,530724,644512,771009
"매출총이익",62504,47204,118811,76493
"판매비와관리비",23815,23174,26430,27992
"인건비",11074,10988,12915,13914
"유무형자산상각비",2435,2617,2313,2387
"연구개발비",1103,1163,1231,1797
"광고선전비",826,717,892,1036
"판매비",2984,3404,3848,2777
"관리비",5150,4099,5013,5854
"기타원가성비용",NA,NA,NA,NA
"기타",243,186,219,228
"영업이익",38689,24030,92381,48501
"영업이익(발표기준)",38689,24030,92381,48501
"금융수익",18721,26775,27301,48340
"이자수익",3524,3722,2922,2470
"배당금수익",755,383,745,394
"외환이익",10306,17222,13784,29878
"대손충당금환입액",NA,NA,NA,NA
"매출채권처분이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련이익",NA,NA,NA,NA
"금융자산처분이익",85,156,201,2560
"금융자산평가이익",423,516,1017,984
"금융자산손상차손환입",NA,NA,NA,NA
"파생상품이익",3594,4676,7730,11030
"기타금융수익",35,100,903,1025
"금융원가",22421,28924,27652,58045
"이자비용",7557,6388,4398,6075
"외환손실",10661,14934,15401,34751
"대손상각비",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산관련손실",NA,NA,NA,NA
"매출채권처분손실",369,158,178,642
"금융자산처분손실",30,56,80,182
"금융자산평가손실",658,675,1138,6981
"금융자산손상차손",NA,NA,NA,NA
"파생상품손실",2756,6395,5980,8836
"기타금융원가",389,318,477,577
"기타수익",4509,4023,5780,5920
"재고자산감모손실환입",NA,NA,NA,NA
"재고자산폐기(처분)이익",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가이익",NA,NA,NA,NA
"자산처분(폐기)이익",999,421,722,738
"자산평가이익",254,NA,NA,NA
"자산손상차손환입",NA,NA,NA,NA
"임대료수익",NA,NA,NA,NA
"로열티수익",NA,NA,NA,NA
"수수료수익",NA,NA,NA,NA
"대손충당금환입",NA,NA,NA,NA
"충당부채환입액",365,52,339,52
"기타비용",11703,6987,10145,11335
"재고자산감모손실",NA,NA,NA,NA
"재고자산폐기(처분)손실",NA,NA,NA,NA
"당기손익-공정가치측정 금융자산평가손실",NA,NA,NA,NA
"자산처분(폐기)손실",1202,1421,957,1111
"자산평가손실",NA,NA,NA,NA
"자산손상차손",7047,2298,5358,5838
"기타대손상각비",803,531,-130,98
"충당부채전입액",231,305,380,889
"종속기업,공동지배기업및관계기업관련손익",2737,1333,6496,6763
"지분법손익",2737,1333,6496,6763
"종속기업,공동지배기업및관계기업투자주식처분손익",NA,NA,NA,NA
"종속기업,공동지배기업및관계기업투자주식손상관련손익",NA,NA,NA,NA
"세전계속사업이익",30533,20251,94161,40144
"법인세비용",10706,2369,22202,4539
"계속영업이익",19826,17882,71959,35605
"중단영업이익",NA,NA,NA,NA
"당기순이익",19826,17882,71959,35605
"지배주주순이익",18351,16021,66172,31441
"비지배주주순이익",1476,1860,5787,4164
"자산",790587,790870,914716,984068
"유동자산",348424,358308,466216,476495
"재고자산",109203,90518,152151,154724
"유동생물자산",NA,NA,NA,NA
"유동금융자산",94301,121015,138431,112350
"매출채권및기타유동채권",102433,92461,117712,115571
"당기법인세자산",459,495,232,2438
"계약자산",NA,NA,113,97
"반품(환불)자산",NA,NA,NA,NA
"배출권",NA,NA,NA,NA
"기타유동자산",6137,5931,9040,10663
"현금및현금성자산",35149,47546,47752,80531
"매각예정비유동자산및처분자산집단",742,342,785,120
"비유동자산",442163,432562,448500,507573
"유형자산",299260,294001,295967,317812
"무형자산",49085,44494,41663,48385
"비유동생물자산",NA,NA,NA,NA
"투자부동산",8782,9948,10861,10740
"장기금융자산",21184,20606,27465,31459
"관계기업등지분관련투자자산",39278,38762,45146,49966
"장기매출채권및기타비유동채권",6676,6552,7712,6757
"이연법인세자산",12373,13352,14338,35022
"장기당기법인세자산",NA,NA,NA,NA
"기타비유동자산",5526,4846,5348,7433
"기타금융업자산",NA,NA,NA,NA
"부채",312640,314124,366667,401494
"유동부채",163237,168550,210836,231882
"단기사채",NA,NA,NA,NA
"단기차입금",54863,51944,51104,68331
"유동성장기부채",30619,34831,37196,50829
"유동금융부채",2426,4219,2934,2559
"매입채무및기타유동채무",62178,64960,88112,93678
"유동종업원급여충당부채",764,734,935,1363
"기타단기충당부채",2841,3698,3065,3797
"당기법인세부채",3966,3665,21397,5027
"계약부채",NA,NA,119,76
"반품(환불)부채",NA,NA,NA,NA
"배출부채",NA,NA,NA,NA
"기타유동부채",5579,4497,5972,6223
"매각예정으로분류된처분자산집단에포함된부채",0,0,2,0
"비유동부채",149403,145574,155830,169612
"사채",80906,84697,90823,96804
"장기차입금",38028,33503,38288,27093
"비유동금융부채",5578,6287,6202,7612
"장기매입채무및기타비유동채무",789,861,835,1163
"비유동종업원급여충당부채",2282,1903,959,709
"기타장기충당부채",4109,4745,5441,5468
"이연법인세부채",16915,13207,12718,29246
"장기당기법인세부채",NA,NA,NA,NA
"기타비유동부채",795,370,565,1519
"기타금융업부채",NA,NA,NA,NA
"자본",477947,476746,548049,582574
"지배기업주주지분",444719,443314,504274,525121
"자본금",4824,4824,4824,4824
"신종자본증권",1994,1994,1994,NA
"자본잉여금",13763,13105,13880,14008
"기타자본",-15294,-23796,-24964,-18864
"기타포괄손익누계액",-11369,-13929,-6789,-4499
"이익잉여금(결손금)",450801,461115,515329,529652
"비지배주주지분",33228,33432,43776,57453
"영업활동으로인한현금흐름",60047,86857,62594,61868
"당기순손익",19826,17882,71959,35605
"법인세비용차감전계속사업이익",NA,NA,NA,NA
"현금유출이없는비용등가산",69937,61775,82103,82327
"퇴직급여",2404,2483,2436,2286
"종업원급여",NA,NA,NA,NA
"주식보상비",NA,NA,NA,NA
"감가상각비",30299,31562,31353,32047
