"","X2019.12","X2020.12","X2021.12"
"영업수익",2233,2401,2125
"창업투자및기업구조조정수익",NA,NA,NA
"이자수익",880,801,623
"수수료수익",1278,1138,1195
"금융상품관련이익",55,332,154
"배당금수익",20,18,38
"위험회피회계파생상품관련이익",NA,NA,NA
"외환거래이익",NA,NA,NA
"기타금융자산관련이익",0,101,115
"기타영업수익",0,11,0
"영업비용",1092,614,646
"투자및금융비용",NA,NA,NA
"이자비용",174,157,125
"수수료비용",2,1,1
"금융상품관련손실",10,8,46
"위험회피회계파생상품관련손실",NA,NA,NA
"외환거래손실",NA,NA,NA
"기타금융자산관련손실",NA,NA,NA
"기타영업비용",515,13,39
"판매비와관리비",390,435,435
"영업이익",1141,1787,1479
"영업외수익",58,5,7
"상각채권추심이익",NA,NA,NA
"대손충당금환입액",NA,NA,NA
"유가증권처분이익",NA,NA,NA
"유가증권손상차손환입",NA,NA,NA
"파생상품이익",NA,NA,NA
"종속기업,공동지배기업및관계기업관련이익",33,0,NA
"자산처분이익",0,NA,0
"자산재평가이익",NA,NA,NA
"자산손상차손환입",NA,NA,NA
"사채상환이익",NA,NA,NA
"충당부채환입액",NA,NA,NA
"수입수수료",NA,NA,NA
"임대료",0,NA,NA
"자산수증이익",NA,NA,NA
"보험차익",NA,NA,NA
"법인세환급액",NA,NA,NA
"전기오류수정이익",NA,NA,NA
"퇴직연금운용이익",NA,NA,NA
"보험수리적이익",NA,NA,NA
"기타영업외수익",24,5,7
"영업외비용",13,62,22
"기타대손상각비",NA,NA,NA
"유가증권처분손실",NA,NA,NA
"유가증권손상차손",NA,NA,NA
"파생상품손실",NA,NA,NA
"종속기업,공동지배기업및관계기업관련손실",12,61,1
"자산처분손실",0,NA,NA
"자산손상차손",NA,NA,NA
"자산재평가손실",NA,NA,NA
"사채상환손실",NA,NA,NA
"충당부채전입액",NA,NA,NA
"지급수수료",NA,NA,NA
"기부금",1,0,21
"법인세추납액",NA,NA,NA
"전기오류수정손실",NA,NA,NA
"퇴직연금운용손실",NA,NA,NA
"보험수리적손실",NA,NA,NA
"기타영업외비용",0,0,0
"세전계속사업이익",1186,1729,1464
"법인세비용",298,429,389
"계속영업이익",888,1300,1075
"중단영업이익",NA,NA,NA
"당기순이익",888,1300,1075
"지배주주순이익",888,1300,1075
"비지배주주순이익",NA,NA,NA
"자산",12375,12076,12647
"창업투자자산",NA,NA,NA
"신기술금융자산",NA,NA,NA
"기업구조조정자산",NA,NA,NA
"유동화자산",NA,NA,NA
"기타금융업자산",10592,6099,7130
"유동자산",1028,3224,2559
"현금및현금성자산",866,3100,2394
"유동금융자산",NA,NA,NA
"당기법인세자산",NA,NA,NA
"기타유동자산",163,124,165
"비유동자산",755,2754,2958
"매도가능금융자산",NA,NA,NA
"기타포괄손익-공정가치측정 금융자산",NA,NA,NA
"만기보유금융자산",NA,NA,NA
"상각후원가측정 유가증권",30,1783,986
