"","Price"
"2013-03-11",586823
"2013-03-12",594344
"2013-03-13",604349
"2013-03-14",641965
"2013-03-15",611870
"2013-03-18",601866
"2013-03-19",596917
"2013-03-20",589297
"2013-03-21",576729
"2013-03-22",574343
"2013-03-25",586823
"2013-03-26",584250
"2013-03-27",591870
"2013-03-28",601866
"2013-03-29",601866
"2013-04-01",596917
"2013-04-02",571771
"2013-04-03",586823
"2013-04-04",564250
"2013-04-05",551681
"2013-04-08",521685
"2013-04-09",529108
"2013-04-10",544249
"2013-04-11",549296
"2013-04-12",544249
"2013-04-15",559203
"2013-04-16",621866
"2013-04-17",606824
"2013-04-18",599302
"2013-04-19",586823
"2013-04-22",604349
"2013-04-23",589297
"2013-04-24",599302
"2013-04-25",584250
"2013-04-26",609485
"2013-04-29",699671
"2013-04-30",712239
"2013-05-02",724719
"2013-05-03",732240
"2013-05-06",717197
"2013-05-07",734812
"2013-05-08",754902
"2013-05-09",742334
"2013-05-10",749855
"2013-05-13",697196
"2013-05-14",712239
"2013-05-15",719770
"2013-05-16",707192
"2013-05-20",717197
"2013-05-21",807570
"2013-05-22",804998
"2013-05-23",804998
"2013-05-24",832618
"2013-05-27",842614
"2013-05-28",842614
"2013-05-29",817566
"2013-05-30",810045
"2013-05-31",804998
"2013-06-03",837665
"2013-06-04",825096
"2013-06-05",795002
"2013-06-07",749855
"2013-06-10",832618
"2013-06-11",852708
"2013-06-12",847572
"2013-06-13",865187
"2013-06-14",842614
"2013-06-17",847572
"2013-06-18",850135
"2013-06-19",870234
"2013-06-20",872708
"2013-06-21",887849
"2013-06-24",860140
"2013-06-25",789955
"2013-06-26",804998
"2013-06-27",867759
"2013-06-28",872708
"2013-07-01",880230
"2013-07-02",857665
"2013-07-03",862712
"2013-07-04",880230
"2013-07-05",852708
"2013-07-08",810045
"2013-07-09",795002
"2013-07-10",795002
"2013-07-11",825096
"2013-07-12",807570
"2013-07-15",804998
"2013-07-16",817566
"2013-07-17",815091
"2013-07-18",822613
"2013-07-19",789955
"2013-07-22",719770
"2013-07-23",697196
"2013-07-24",709676
"2013-07-25",654533
"2013-07-26",667102
"2013-07-29",647012
"2013-07-30",717197
"2013-07-31",707192
"2013-08-01",722244
"2013-08-02",702145
"2013-08-05",732240
"2013-08-06",749855
"2013-08-07",734812
"2013-08-08",719770
"2013-08-09",719770
"2013-08-12",719770
"2013-08-13",679581
"2013-08-14",674623
"2013-08-16",654533
"2013-08-19",627011
"2013-08-20",634444
"2013-08-21",647012
"2013-08-22",591870
"2013-08-23",629486
"2013-08-26",616917
"2013-08-27",596917
"2013-08-28",579390
"2013-08-29",599302
"2013-08-30",581776
"2013-09-02",619392
"2013-09-03",616917
"2013-09-04",614345
"2013-09-05",624439
"2013-09-06",599302
"2013-09-09",644529
"2013-09-10",647012
"2013-09-11",652059
"2013-09-12",631960
"2013-09-13",621866
"2013-09-16",624439
"2013-09-17",634444
"2013-09-23",637007
"2013-09-24",641965
"2013-09-25",634444
"2013-09-26",629486
"2013-09-27",619392
"2013-09-30",616917
"2013-10-01",621866
"2013-10-02",629486
"2013-10-04",631960
"2013-10-07",627011
"2013-10-08",647012
"2013-10-10",742334
"2013-10-11",739770
"2013-10-14",729766
"2013-10-15",722244
"2013-10-16",704718
"2013-10-17",727291
"2013-10-18",714723
"2013-10-21",727291
"2013-10-22",729766
"2013-10-23",682145
"2013-10-24",672060
"2013-10-25",667102
"2013-10-28",672060
"2013-10-29",647012
"2013-10-30",669576
"2013-10-31",664529
"2013-11-01",667102
"2013-11-04",614345
"2013-11-05",621866
"2013-11-06",599302
"2013-11-07",574343
"2013-11-08",546634
"2013-11-11",506633
"2013-11-12",539202
"2013-11-13",536727
"2013-11-14",551681
"2013-11-15",559203
"2013-11-18",569208
"2013-11-19",549296
"2013-11-20",559203
"2013-11-21",541685
"2013-11-22",531680
"2013-11-25",539202
"2013-11-26",571771
"2013-11-27",566822
"2013-11-28",566822
"2013-11-29",576729
"2013-12-02",546634
"2013-12-03",541685
"2013-12-04",561775
"2013-12-05",551681
"2013-12-06",554156
"2013-12-09",566822
"2013-12-10",549296
"2013-12-11",511591
"2013-12-12",516540
"2013-12-13",501586
"2013-12-16",478007
"2013-12-17",438370
"2013-12-18",453324
"2013-12-19",447823
"2013-12-20",451401
"2013-12-23",459475
"2013-12-24",454891
"2013-12-26",446906
"2013-12-27",459938
"2013-12-30",475897
"2014-01-02",469017
"2014-01-03",476449
"2014-01-06",477455
"2014-01-07",479022
"2014-01-08",482048
"2014-01-09",554156
"2014-01-10",531680
"2014-01-13",529108
"2014-01-14",531680
"2014-01-15",541685
"2014-01-16",544249
"2014-01-17",559203
"2014-01-20",534155
"2014-01-21",561775
"2014-01-22",561775
"2014-01-23",546634
"2014-01-24",564250
"2014-01-27",544249
"2014-01-28",551681
"2014-01-29",556817
"2014-02-03",564250
"2014-02-04",561775
"2014-02-05",561775
"2014-02-06",490023
"2014-02-07",489569
"2014-02-10",491590
"2014-02-11",474980
"2014-02-12",484060
"2014-02-13",521685
"2014-02-14",504069
"2014-02-17",495533
"2014-02-18",514154
"2014-02-19",516540
"2014-02-20",501034
"2014-02-21",501034
"2014-02-24",519112
"2014-02-25",514154
"2014-02-26",521685
"2014-02-27",514154
"2014-02-28",493513
"2014-03-03",478559
"2014-03-04",531680
"2014-03-05",509107
"2014-03-06",554156
"2014-03-07",594344
"2014-03-10",576729
"2014-03-11",581776
"2014-03-12",594344
"2014-03-13",579390
"2014-03-14",559203
"2014-03-17",556817
"2014-03-18",559203
"2014-03-19",559203
"2014-03-20",584250
"2014-03-21",571771
"2014-03-24",652059
"2014-03-25",639482
"2014-03-26",609485
"2014-03-27",629486
"2014-03-28",634444
"2014-03-31",634444
"2014-04-01",639482
"2014-04-02",664529
"2014-04-03",667102
"2014-04-04",662055
"2014-04-07",641965
"2014-04-08",647012
"2014-04-09",631960
"2014-04-10",639482
"2014-04-11",631960
"2014-04-14",639482
"2014-04-15",639482
"2014-04-16",624439
"2014-04-17",591870
"2014-04-18",596917
"2014-04-21",596917
"2014-04-22",589297
"2014-04-23",601866
"2014-04-24",586823
"2014-04-25",559203
"2014-04-28",546634
"2014-04-29",579390
"2014-04-30",579390
"2014-05-02",581776
"2014-05-07",566822
"2014-05-08",549296
"2014-05-09",549296
"2014-05-12",509107
"2014-05-13",514154
"2014-05-14",524070
"2014-05-15",524070
"2014-05-16",521685
"2014-05-19",504069
"2014-05-20",501586
"2014-05-21",501034
"2014-05-22",500580
"2014-05-23",506633
"2014-05-26",499022
"2014-05-27",468465
"2014-05-28",466444
"2014-05-29",466996
"2014-05-30",447360
"2014-06-02",405249
"2014-06-03",390295
"2014-06-05",390758
"2014-06-09",393696
"2014-06-10",395805
"2014-06-11",406718
"2014-06-12",408276
"2014-06-13",398734
"2014-06-16",402775
"2014-06-17",399748
"2014-06-18",431401
"2014-06-19",426354
"2014-06-20",416358
"2014-06-23",391675
"2014-06-24",399196
"2014-06-25",392681
"2014-06-26",395805
"2014-06-27",402312
"2014-06-30",412228
"2014-07-01",414889
"2014-07-02",417275
"2014-07-03",420853
"2014-07-04",409290
"2014-07-07",399748
"2014-07-08",398734
"2014-07-09",399748
"2014-07-10",410759
"2014-07-11",402775
"2014-07-14",395253
"2014-07-15",392227
"2014-07-16",377175
"2014-07-17",379196
"2014-07-18",384154
"2014-07-21",375155
"2014-07-22",371122
"2014-07-23",360112
"2014-07-24",345612
"2014-07-25",345069
"2014-07-28",347081
"2014-07-29",323964
"2014-07-30",300937
"2014-07-31",300474
"2014-08-01",310016
"2014-08-04",337085
"2014-08-05",320021
"2014-08-06",323048
"2014-08-07",320475
"2014-08-08",312954
"2014-08-11",327997
"2014-08-12",333506
"2014-08-13",361669
"2014-08-14",364153
"2014-08-18",376169
"2014-08-19",376169
"2014-08-20",380202
"2014-08-21",401769
"2014-08-22",400754
"2014-08-25",383691
"2014-08-26",397274
"2014-08-27",415343
"2014-08-28",423879
"2014-08-29",426354
"2014-09-01",456902
"2014-09-02",465438
"2014-09-03",466444
"2014-09-04",486080
"2014-09-05",497554
"2014-09-11",489569
"2014-09-12",556817
"2014-09-15",524070
"2014-09-16",529108
"2014-09-17",511591
"2014-09-18",534155
"2014-09-19",536727
"2014-09-22",546634
"2014-09-23",604349
"2014-09-24",689675
"2014-09-25",687103
"2014-09-26",724719
"2014-09-29",702145
"2014-09-30",759860
"2014-10-01",754902
"2014-10-02",757386
"2014-10-06",672060
"2014-10-07",699671
"2014-10-08",689675
"2014-10-10",627011
"2014-10-13",556817
"2014-10-14",627011
"2014-10-15",584250
"2014-10-16",569208
"2014-10-17",554156
"2014-10-20",551681
"2014-10-21",576729
"2014-10-22",566822
"2014-10-23",541685
"2014-10-24",526634
"2014-10-27",534155
"2014-10-28",564250
"2014-10-29",584250
"2014-10-30",546634
"2014-10-31",524070
"2014-11-03",521685
"2014-11-04",473975
"2014-11-05",483517
"2014-11-06",458923
"2014-11-07",470948
"2014-11-10",490486
"2014-11-11",495533
"2014-11-12",499022
"2014-11-13",500580
"2014-11-14",491590
"2014-11-17",526634
"2014-11-18",544249
"2014-11-19",529108
"2014-11-20",531680
"2014-11-21",531680
"2014-11-24",539202
"2014-11-25",521685
"2014-11-26",521685
"2014-11-27",521685
"2014-11-28",534155
"2014-12-01",541685
"2014-12-02",541685
"2014-12-03",546634
"2014-12-04",546634
"2014-12-05",551681
"2014-12-08",569208
"2014-12-09",606824
"2014-12-10",569208
"2014-12-11",524070
"2014-12-12",571771
"2014-12-15",551681
"2014-12-16",536727
"2014-12-17",519112
"2014-12-18",519112
"2014-12-19",506633
"2014-12-22",526634
"2014-12-23",511591
"2014-12-24",516540
"2014-12-26",498559
"2014-12-29",496085
"2014-12-30",509107
"2015-01-02",521685
"2015-01-05",549296
"2015-01-06",529108
"2015-01-07",536727
"2015-01-08",534155
"2015-01-09",534155
"2015-01-12",531680
"2015-01-13",544249
"2015-01-14",551681
"2015-01-15",559203
"2015-01-16",539202
"2015-01-19",539202
"2015-01-20",531680
"2015-01-21",519112
"2015-01-22",509107
"2015-01-23",516540
"2015-01-26",491038
"2015-01-27",466996
"2015-01-28",484060
"2015-01-29",463881
"2015-01-30",469934
"2015-02-02",469017
"2015-02-03",456902
"2015-02-04",466444
"2015-02-05",471491
"2015-02-06",465438
"2015-02-09",455986
"2015-02-10",468465
"2015-02-11",480481
"2015-02-12",469017
"2015-02-13",469480
"2015-02-16",460943
"2015-02-17",463881
"2015-02-23",524070
"2015-02-24",519112
"2015-02-25",509107
"2015-02-26",531680
"2015-02-27",539202
"2015-03-02",546634
"2015-03-03",521685
"2015-03-04",531680
"2015-03-05",529108
"2015-03-06",539202
"2015-03-09",524070
"2015-03-10",526634
"2015-03-11",549296
"2015-03-12",544249
"2015-03-13",539202
"2015-03-16",544249
"2015-03-17",574343
"2015-03-18",556817
"2015-03-19",566822
"2015-03-20",589297
"2015-03-23",591870
"2015-03-24",604349
"2015-03-25",591870
"2015-03-26",624439
"2015-03-27",624439
"2015-03-30",619392
"2015-03-31",599302
"2015-04-01",619392
"2015-04-02",594344
"2015-04-03",589297
"2015-04-06",589297
"2015-04-07",591870
"2015-04-08",611870
"2015-04-09",599302
"2015-04-10",554156
"2015-04-13",544249
"2015-04-14",546634
"2015-04-15",529108
"2015-04-16",524070
"2015-04-17",534155
"2015-04-20",529108
"2015-04-21",534155
"2015-04-22",539202
"2015-04-23",566822
"2015-04-24",576729
"2015-04-27",589297
"2015-04-28",574343
"2015-04-29",574343
"2015-04-30",584250
"2015-05-04",589297
"2015-05-06",584250
"2015-05-07",581776
"2015-05-08",566822
"2015-05-11",571771
"2015-05-12",574343
"2015-05-13",581776
"2015-05-14",579390
"2015-05-15",611870
"2015-05-18",609485
"2015-05-19",616917
"2015-05-20",586823
"2015-05-21",561775
"2015-05-22",566822
"2015-05-26",569208
"2015-05-27",561775
"2015-05-28",539202
"2015-05-29",539202
"2015-06-01",519112
"2015-06-02",549296
"2015-06-03",546634
"2015-06-04",559203
"2015-06-05",551681
"2015-06-08",539202
"2015-06-09",549296
"2015-06-10",546634
"2015-06-11",549296
"2015-06-12",561775
"2015-06-15",566822
"2015-06-16",561775
"2015-06-17",554156
"2015-06-18",534155
"2015-06-19",544249
"2015-06-22",521685
"2015-06-23",551681
"2015-06-24",559203
"2015-06-25",566822
"2015-06-26",549296
"2015-06-29",521685
"2015-06-30",544249
"2015-07-01",581776
"2015-07-02",631960
"2015-07-03",639482
"2015-07-06",654533
"2015-07-07",611870
"2015-07-08",634444
"2015-07-09",709676
"2015-07-10",697196
"2015-07-13",709676
"2015-07-14",744808
"2015-07-15",759860
"2015-07-16",787471
"2015-07-17",832618
"2015-07-20",850135
"2015-07-21",832618
"2015-07-22",807570
"2015-07-23",820049
"2015-07-24",777475
"2015-07-27",792518
"2015-07-28",764907
"2015-07-29",777475
"2015-07-30",777475
"2015-07-31",699671
"2015-08-03",719770
"2015-08-04",737287
"2015-08-05",737287
"2015-08-06",739770
"2015-08-07",739770
"2015-08-10",699671
"2015-08-11",699671
"2015-08-12",712239
"2015-08-13",707192
"2015-08-17",772428
"2015-08-18",762433
"2015-08-19",739770
"2015-08-20",727291
"2015-08-21",727291
"2015-08-24",704718
"2015-08-25",724719
"2015-08-26",734812
"2015-08-27",732240
"2015-08-28",749855
"2015-08-31",792518
"2015-09-01",817566
"2015-09-02",850135
"2015-09-03",820049
"2015-09-04",769954
"2015-09-07",759860
"2015-09-08",787471
"2015-09-09",795002
"2015-09-10",800049
"2015-09-11",830045
"2015-09-14",815091
"2015-09-15",815091
"2015-09-16",817566
"2015-09-17",800049
"2015-09-18",825096
"2015-09-21",852708
"2015-09-22",822613
"2015-09-23",789955
"2015-09-24",797476
"2015-09-25",795002
"2015-09-30",797476
"2015-10-01",810045
"2015-10-02",827571
"2015-10-05",825096
"2015-10-06",802523
"2015-10-07",782433
"2015-10-08",757386
"2015-10-12",782433
"2015-10-13",772428
"2015-10-14",732240
"2015-10-15",752339
"2015-10-16",729766
"2015-10-19",707192
"2015-10-20",752339
"2015-10-21",729766
"2015-10-22",732240
"2015-10-23",732240
"2015-10-26",747292
"2015-10-27",727291
"2015-10-28",734812
"2015-10-29",722244
"2015-10-30",707192
"2015-11-02",709676
"2015-11-03",724719
"2015-11-04",739770
"2015-11-05",757386
"2015-11-06",749855
"2015-11-09",747292
"2015-11-10",759860
"2015-11-11",772428
"2015-11-12",739770
"2015-11-13",714723
"2015-11-16",662055
"2015-11-17",692149
"2015-11-18",689675
"2015-11-19",712239
"2015-11-20",769954
"2015-11-23",777475
"2015-11-24",789955
"2015-11-25",802523
"2015-11-26",797476
"2015-11-27",757386
"2015-11-30",795002
"2015-12-01",804998
"2015-12-02",777475
"2015-12-03",762433
"2015-12-04",739770
"2015-12-07",779950
"2015-12-08",747292
"2015-12-09",764907
"2015-12-10",769954
"2015-12-11",802523
"2015-12-14",742334
"2015-12-15",774903
"2015-12-16",759860
"2015-12-17",784997
"2015-12-18",782433
"2015-12-21",782433
"2015-12-22",784997
"2015-12-23",764907
"2015-12-24",754902
"2015-12-28",757386
"2015-12-29",757386
"2015-12-30",787471
"2016-01-04",769954
"2016-01-05",782433
"2016-01-06",762433
"2016-01-07",739770
"2016-01-08",749855
"2016-01-11",717197
"2016-01-12",724719
"2016-01-13",734812
"2016-01-14",709676
"2016-01-15",692149
"2016-01-18",677107
"2016-01-19",674623
"2016-01-20",679581
"2016-01-21",654533
"2016-01-22",662055
"2016-01-25",687103
"2016-01-26",669576
"2016-01-27",682145
"2016-01-28",687103
"2016-01-29",679581
"2016-02-01",669576
"2016-02-02",674623
"2016-02-03",654533
"2016-02-04",679581
"2016-02-05",704718
"2016-02-11",657008
"2016-02-12",586823
"2016-02-15",614345
"2016-02-16",619392
"2016-02-17",596917
"2016-02-18",614345
"2016-02-19",667102
"2016-02-22",677107
"2016-02-23",689675
"2016-02-24",734812
"2016-02-25",744808
"2016-02-26",739770
"2016-02-29",732240
"2016-03-02",759860
"2016-03-03",774903
"2016-03-04",752339
"2016-03-07",767382
"2016-03-08",749855
"2016-03-09",752339
"2016-03-10",749855
"2016-03-11",729766
"2016-03-14",722244
"2016-03-15",709676
"2016-03-16",697196
"2016-03-17",744808
"2016-03-18",747292
"2016-03-21",717197
"2016-03-22",712239
"2016-03-23",712239
"2016-03-24",707192
"2016-03-25",702145
"2016-03-28",697196
"2016-03-29",697196
"2016-03-30",659580
"2016-03-31",664529
"2016-04-01",664529
"2016-04-04",662055
"2016-04-05",674623
"2016-04-06",679581
"2016-04-07",694624
"2016-04-08",682145
"2016-04-11",664529
"2016-04-12",672060
"2016-04-14",677107
"2016-04-15",669576
"2016-04-18",659580
"2016-04-19",704718
"2016-04-20",699671
"2016-04-21",702145
"2016-04-22",724719
"2016-04-25",749855
"2016-04-26",734812
"2016-04-27",702145
"2016-04-28",709676
"2016-04-29",724719
"2016-05-02",709676
"2016-05-03",702145
"2016-05-04",687103
"2016-05-09",682145
"2016-05-10",684628
"2016-05-11",702145
"2016-05-12",709676
"2016-05-13",682145
"2016-05-16",641965
"2016-05-17",611870
"2016-05-18",574343
"2016-05-19",564250
"2016-05-20",579390
"2016-05-23",586823
"2016-05-24",571771
"2016-05-25",574343
"2016-05-26",556817
"2016-05-27",526634
"2016-05-30",536727
"2016-05-31",561775
"2016-06-01",561775
"2016-06-02",559203
"2016-06-03",561775
"2016-06-07",566822
"2016-06-08",586823
