"","code","name","stock"
"2010","00260985","한빛네트","036720"
"2022","00264529","엔플렉스","040130"
"2023","00358545","동서정보기술","055000"
"2785","00231567","애드모바일","032600"
"3889","00247939","씨모스","037600"
"3892","00359614","리더컴","056140"
"3962","00153551","허메스홀딩스","012400"
"3995","00344746","유티엑스","045880"
"4072","00261188","글로포스트","037830"
"4073","00268020","쏠라엔텍","030390"
"4074","00269287","보홍","041320"
"4115","00475286","동북아1호선박투자회사","078420"
"4122","00250775","에듀아크","046350"
"4141","00114321","데코","013650"
"4219","00191108","엘앤씨피","015390"
"4236","00167378","희훈디앤지","019640"
"4243","00225210","퓨쳐인포넷","058690"
"4248","00223346","쓰리디넷","035400"
"4250","00174129","제일저축은행","024100"
"4251","00114826","제일창업투자","026540"
"4274","00173333","현대DSF","016510"
"4276","00687599","네프로아이티","950030"
"4337","00256292","자강","036790"
"4348","00271431","케이엠에스","038830"
"4376","00154727","에버리소스","020070"
"4377","00246189","제이에스","037110"
"4419","00154204","태창기업","007490"
"4426","00152631","에이치비이에너지","017300"
"4428","00107923","남한제지","001950"
"4436","00358095","코어비트","056850"
"4454","00510215","동북아8호선박투자회사","082110"
"4515","00347619","한국통신데이타","045760"
"4525","00372013","케너텍","062730"
"4533","00353735","다휘","055250"
"4563","00186540","코오롱아이넷","022520"
"4632","00128759","캠브리지코오롱","004620"
"4648","00535588","네오세미테크","089240"
"4657","00264981","디에이치패션","045260"
"4689","00231521","핸디소프트","032380"
"4692","00159908","케이엠에이치","009690"
"4738","00259493","씨엘엘씨디","035710"
"4745","00359641","현대푸드시스템","114410"
"4774","00103325","고제","002540"
"4775","00161639","메리츠종합금융","012420"
"4792","00211271","제넥셀세인","034660"
"4793","00388272","쓰리디월드","065340"
"4829","00264796","스톰이앤에프","043680"
"4855","00134909","소예","035010"
"4908","00236368","엠엔에프씨","048640"
"4915","00684547","하이트맥주","103150"
"4945","00251385","보광티에스","066690"
"4946","00262682","아인스엠앤엠","040740"
"5100","00234555","씨엔씨엔터프라이즈","038420"
"5114","00507257","아이알디","084810"
"5142","00417963","바이나믹","067850"
"5246","00543523","코크렙제7호위탁관리부동산투자회사","086720"
"5247","00300566","엔빅스","054170"
"5341","00299376","선팩테크","054010"
"5385","00112068","마이크로닉스","001190"
"5404","00257194","블루스톤디앤아이","033720"
"5444","00477372","신지소프트","078700"
"5515","00465410","맥쿼리센트럴오피스기업구조조정부동산투자회사","076850"
"5558","00331760","테스텍","048510"
"5611","00200761","중앙디자인","030030"
"5709","00268297","에코페트로시스템","042870"
"5728","00161301","한림창업투자","021060"
"5777","00237260","헤쎄나","036270"
"5813","00297970","미래에셋굿라이프혼합형자녀를위한투자회사10-1","037510"
"5861","00107358","일공공일안경콘택트","032030"
"5924","00115427","신동방CP","004660"
"6028","00267474","지앤알","043630"
"6050","00134051","셀런","013240"
"6063","00596066","한국베트남15-1유전해외자원개발투자회사","093820"
"6126","00347363","에이치원바이오","052310"
"6137","00150226","씨앤중공업","008400"
"6138","00152914","FnC코오롱","001370"
"6172","00158839","제너비오믹스","017010"
"6189","00159281","케드콤","011050"
"6238","00210537","지엔텍홀딩스","065410"
"6252","00240370","동부씨엔아이","044640"
"6272","00247887","아이피에스","051820"
"6281","00268358","에스브이에이치","046240"
"6317","00316488","제이콤","060750"
"6329","00264130","옥션","043790"
"6336","00540304","네이쳐글로벌","088020"
"6356","00617299","GB블루오션베트남주식혼합형투자회사1호","094950"
"6404","00262275","엠씨티티코어","052210"
"6420","00200798","에이스앤파트너스","032930"
"6437","00335924","지앤디윈텍","061050"
"6457","00111591","인터피온반도체","014010"
"6458","00189343","솔로몬저축은행","007800"
