"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","bfefrmtrm_nm","bfefrmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 22 기","73665700958","제 21 기","57893201732","제 20 기","40373315057","1","KRW",NA
"2","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 22 기","10328644356","제 21 기","15070369222","제 20 기","13875242408","2","KRW",NA
"3","20220323000701","11011","2021","00604268","BS","재무상태표","dart_ShortTermDepositsNotClassifiedAsCashEquivalents","단기금융상품","-","제 22 기","12000000000","제 21 기","14132268175","제 20 기","260000000","3","KRW",NA
"4","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition","당기손익-공정가치 측정 지정 금융자산","-","제 22 기","3603643","제 21 기","","제 20 기","10051000","4","KRW",NA
"5","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타채권","-","제 22 기","40449199347","제 21 기","19625935737","제 20 기","22993211711","5","KRW",NA
"6","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_Inventories","재고자산","-","제 22 기","8102622005","제 21 기","1947861581","제 20 기","2873442607","6","KRW",NA
"7","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 22 기","","제 21 기","441580854","제 20 기","","7","KRW",NA
"8","20220323000701","11011","2021","00604268","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 22 기","2781631607","제 21 기","6675186163","제 20 기","361367331","8","KRW",NA
"9","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 22 기","26463172724","제 21 기","16252658827","제 20 기","9288904972","9","KRW",NA
"10","20220323000701","11011","2021","00604268","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentReceivablesGross","장기성매출채권 및 기타채권","-","제 22 기","240226904","제 21 기","300285453","제 20 기","119869795","10","KRW",NA
"11","20220323000701","11011","2021","00604268","BS","재무상태표","dart_LongTermDepositsNotClassifiedAsCashEquivalents","장기금융상품","-","제 22 기","206698046","제 21 기","166492438","제 20 기","126209298","11","KRW",NA
"12","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치 측정 금융자산","-","제 22 기","1771408600","제 21 기","576450000","제 20 기","15032952","12","KRW",NA
"13","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 22 기","21488609353","제 21 기","14911089042","제 20 기","8906004250","13","KRW",NA
"14","20220323000701","11011","2021","00604268","BS","재무상태표","dart_OtherIntangibleAssetsGross","무형자산","-","제 22 기","877727567","제 21 기","298341894","제 20 기","121788677","14","KRW",NA
"15","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_DeferredTaxAssets","이연법인세자산","-","제 22 기","1463449024","제 21 기","","제 20 기","","15","KRW",NA
"16","20220323000701","11011","2021","00604268","BS","재무상태표","dart_OtherNonCurrentAssets","기타비유동자산","-","제 22 기","415053230","제 21 기","","제 20 기","","16","KRW",NA
"17","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 22 기","100128873682","제 21 기","74145860559","제 20 기","49662220029","17","KRW",NA
"18","20220323000701","11011","2021","00604268","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 22 기","40660896230","제 21 기","14907460225","제 20 기","27642879041","19","KRW",NA
