"","rcept_no","reprt_code","bsns_year","corp_code","sj_div","sj_nm","account_id","account_nm","account_detail","thstrm_nm","thstrm_amount","frmtrm_nm","frmtrm_amount","ord","currency","thstrm_add_amount"
"1","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_CurrentAssets","유동자산","-","제 2 기","35771457542","제 1 기","14855639462","1","KRW",NA
"2","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_CashAndCashEquivalents","현금및현금성자산","-","제 2 기","19450435686","제 1 기","4628970037","2","KRW",NA
"3","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_TradeAndOtherCurrentReceivables","매출채권 및 기타채권","-","제 2 기","3331372332","제 1 기","1905117721","3","KRW",NA
"4","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_CurrentContractAssets","계약자산","-","제 2 기","12851190272","제 1 기","8245463490","4","KRW",NA
"5","20220322000633","11011","2021","01487446","BS","재무상태표","dart_OtherCurrentAssets","기타유동자산","-","제 2 기","119436572","제 1 기","75506064","5","KRW",NA
"6","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_CurrentTaxAssets","당기법인세자산","-","제 2 기","19022680","제 1 기","582150","6","KRW",NA
"7","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_NoncurrentAssets","비유동자산","-","제 2 기","35500322636","제 1 기","29086174001","7","KRW",NA
"8","20220322000633","11011","2021","01487446","BS","재무상태표","dart_LongTermTradeAndOtherNonCurrentReceivablesGross","기타비유동채권","-","제 2 기","84878000","제 1 기","183750490","8","KRW",NA
"9","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_InvestmentsInSubsidiariesJointVenturesAndAssociates","종속기업 및 관계기업투자","-","제 2 기","2733500352","제 1 기","2930625766","9","KRW",NA
"10","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome","기타포괄손익-공정가치 측정 금융자산","-","제 2 기","670628685","제 1 기","2283024045","10","KRW",NA
"11","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_PropertyPlantAndEquipment","유형자산","-","제 2 기","31462515095","제 1 기","23087844398","11","KRW",NA
"12","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_IntangibleAssetsOtherThanGoodwill","무형자산","-","제 2 기","548800504","제 1 기","600929302","12","KRW",NA
"13","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_Assets","자산총계","-","제 2 기","71271780178","제 1 기","43941813463","13","KRW",NA
"14","20220322000633","11011","2021","01487446","BS","재무상태표","ifrs-full_CurrentLiabilities","유동부채","-","제 2 기","36680849759","제 1 기","33019903356","15","KRW",NA
