"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"1","060310","3S",2215,-105,-4.53,33,67.12,NA,NA,829,2.67,0,0
"2","095570","AJ네트웍스",5400,50,0.93,1707,3.16,613,8.81,8075,0.67,270,5
"3","006840","AK홀딩스",17050,-360,-2.07,NA,NA,NA,NA,45961,0.37,200,1.17
"4","054620","APS홀딩스",13220,0,0,1179,11.21,846,15.63,10088,1.31,100,0.76
"5","265520","AP시스템",20500,-300,-1.44,3932,5.21,NA,NA,12713,1.61,240,1.17
"6","211270","AP위성",19290,-1310,-6.36,99,194.85,NA,NA,5714,3.38,70,0.36
"7","027410","BGF",4530,45,1,684,6.62,695,6.52,16393,0.28,110,2.43
"8","282330","BGF리테일",183900,1900,1.04,8547,21.52,13702,13.42,46849,3.93,3000,1.63
"9","126600","BGF에코머티리얼즈",5880,-50,-0.84,39,150.77,NA,NA,6534,0.9,100,1.7
"10","138930","BNK금융지주",6550,-40,-0.61,2341,2.8,2652,2.47,28745,0.23,560,8.55
"11","001460","BYC",547000,-10000,-1.8,35764,15.29,NA,NA,577324,0.95,1500,0.27
"12","001465","BYC우",169900,-2900,-1.68,NA,NA,NA,NA,NA,NA,1550,0.91
"13","013720","CBI",295,-6,-1.99,NA,NA,NA,NA,137,2.15,0,0
"14","001040","CJ",93200,2100,2.31,8197,11.37,10837,8.6,151085,0.62,2300,2.47
"15","079160","CJ CGV",16410,-470,-2.78,NA,NA,NA,NA,5520,2.97,0,0
"16","035760","CJ ENM",89000,-1900,-2.09,9332,9.54,4885,18.22,182220,0.49,2100,2.36
"17","311690","CJ 바이오사이언스",29700,700,2.41,NA,NA,NA,NA,14957,1.99,0,0
"18","00104K","CJ4우(전환)",77600,700,0.91,NA,NA,NA,NA,NA,NA,2350,3.03
"19","000120","CJ대한통운",81000,-1200,-1.46,1841,44,9543,8.49,178766,0.45,0,0
"20","011150","CJ씨푸드",3350,-35,-1.03,61,54.92,NA,NA,1857,1.8,0,0
"21","011155","CJ씨푸드1우",25750,-200,-0.77,NA,NA,NA,NA,NA,NA,0,0
"22","001045","CJ우",51200,600,1.19,NA,NA,NA,NA,NA,NA,2350,4.59
"23","097950","CJ제일제당",319000,-6500,-2,38246,8.34,42322,7.54,381542,0.84,5000,1.57
"24","097955","CJ제일제당 우",157900,-1200,-0.75,NA,NA,NA,NA,NA,NA,5050,3.2
"25","051500","CJ프레시웨이",31100,50,0.16,2245,13.85,6105,5.09,20715,1.5,300,0.96
"26","058820","CMG제약",2245,-75,-3.23,23,97.61,NA,NA,1330,1.69,0,0
"27","023460","CNH",2200,0,0,46,47.83,NA,NA,3826,0.58,20,0.91
"28","056730","CNT85",3100,0,0,NA,NA,NA,NA,295,10.51,0,0
