"","종목코드","종목명","시장구분","업종명","종가","대비","등락률","시가총액"
"1","060310","3S","KOSDAQ","기계·장비",2215,-105,-4.53,107508662030
"2","054620","APS홀딩스","KOSDAQ","금융",13220,0,0,269611601620
"3","265520","AP시스템","KOSDAQ","반도체",20500,-300,-1.44,313269130500
"4","211270","AP위성","KOSDAQ","통신장비",19290,-1310,-6.36,290937644160
"5","126600","BGF에코머티리얼즈","KOSDAQ","화학",5880,-50,-0.84,173671056720
"6","013720","CBI","KOSDAQ","운송장비·부품",295,-6,-1.99,79777483955
"7","035760","CJ ENM","KOSDAQ","방송서비스",89000,-1900,-2.09,1951694706000
"8","311690","CJ 바이오사이언스","KOSDAQ","기타서비스",29700,700,2.41,174596558400
"9","051500","CJ프레시웨이","KOSDAQ","유통",31100,50,0.16,369206324600
"10","058820","CMG제약","KOSDAQ","제약",2245,-75,-3.23,311813087780
"11","023460","CNH","KOSDAQ","금융",2200,0,0,8.184e+10
"12","056730","CNT85","KOSDAQ","건설",3100,0,0,110821763600
"13","065770","CS","KOSDAQ","통신장비",1600,-38,-2.32,31057808000
"14","083660","CSA 코스믹","KOSDAQ","화학",824,10,1.23,32507783032
"15","404950","DB금융스팩10호","KOSDAQ","금융",2050,-5,-0.24,1.1972e+10
"16","367340","DB금융스팩8호","KOSDAQ","금융",2055,-10,-0.48,12432750000
"17","367360","DB금융스팩9호","KOSDAQ","금융",2115,0,0,10236600000
"18","025440","DH오토웨어","KOSDAQ","일반전기전자",627,-10,-1.57,89347500000
"19","068790","DMS","KOSDAQ","기계·장비",6730,-120,-1.75,165376700530
"20","241520","DSC인베스트먼트","KOSDAQ","금융",4260,-165,-3.73,118476576780
"21","180400","DXVX","KOSDAQ","기타서비스",7740,0,0,222082929900
"22","245620","EDGC","KOSDAQ","기타서비스",1633,-52,-3.09,137295995323
"23","037370","EG","KOSDAQ","건설",9770,-370,-3.65,84265976440
"24","050120","ES큐브","KOSDAQ","유통",4280,-155,-3.49,58054288080
"25","214270","FSN","KOSDAQ","출판·매체복제",4480,-195,-4.17,148962074240
"26","130500","GH신소재","KOSDAQ","섬유·의류",3840,-60,-1.54,55852999680
"27","900290","GRT","KOSDAQ","금융",2740,-35,-1.26,184607500000
"28","083450","GST","KOSDAQ","반도체",22300,-850,-3.67,207785713500
"29","297890","HB솔루션","KOSDAQ","기계·장비",13880,330,2.44,232074890840
"30","078150","HB테크놀러지","KOSDAQ","기계·장비",1969,-13,-0.66,155532148794
"31","195940","HK이노엔","KOSDAQ","제약",38600,650,1.71,1093533792600
"32","028300","HLB","KOSDAQ","제약",32250,-2000,-5.84,3756024920250
"33","067630","HLB생명과학","KOSDAQ","기타서비스",10590,-550,-4.94,1024272911940
"34","047920","HLB제약","KOSDAQ","기타서비스",13680,280,2.09,381277332000
"35","115450","HLB테라퓨틱스","KOSDAQ","유통",11870,-120,-1,414349912140
"36","403870","HPSP","KOSDAQ","반도체",66200,-900,-1.34,1343181450000
"37","036640","HRS","KOSDAQ","화학",5480,-110,-1.97,89624304000
"38","405350","IBKS제17호스팩","KOSDAQ","금융",2375,0,0,6.46e+09
"39","424760","IBKS제18호스팩","KOSDAQ","금융",3110,-125,-3.86,13155300000
"40","426550","IBKS제19호스팩","KOSDAQ","금융",2200,0,0,1.1176e+10
"41","439730","IBKS제20호스팩","KOSDAQ","금융",2175,0,0,9374250000
"42","442770","IBKS제21호스팩","KOSDAQ","금융",2165,-20,-0.92,9114650000
"43","095340","ISC","KOSDAQ","반도체",33000,-350,-1.05,574182543000
"44","099520","ITX-AI","KOSDAQ","통신장비",2570,0,0,63350158190
"45","950170","JTC","KOSDAQ","유통",4390,-140,-3.09,219908375360
"46","067290","JW신약","KOSDAQ","제약",3220,-50,-1.53,155935509940
"47","035900","JYP Ent.","KOSDAQ","오락·문화",80000,2100,2.7,2839799360000
"48","318000","KBG","KOSDAQ","화학",9380,-270,-2.8,77195758500
"49","024840","KBI메탈","KOSDAQ","금속",1537,40,2.67,50645453376
"50","024120","KB오토시스","KOSDAQ","운송장비·부품",4350,-40,-0.91,5.0025e+10
"51","021320","KCC건설","KOSDAQ","건설",6190,-30,-0.48,1.32466e+11
"52","036670","KCI","KOSDAQ","화학",9400,50,0.53,1.05938e+11
"53","044180","KD","KOSDAQ","건설",736,-1,-0.14,18288599776
"54","151860","KG ETS","KOSDAQ","기타서비스",16620,-300,-1.77,5.9832e+11
"55","046440","KG모빌리언스","KOSDAQ","소프트웨어",6840,10,0.15,265566885120
"56","035600","KG이니시스","KOSDAQ","소프트웨어",13170,-150,-1.13,367501395780
"57","226360","KH 건설","KOSDAQ","건설",358,-14,-3.76,44256150098
"58","111870","KH 전자","KOSDAQ","일반전기전자",211,-13,-5.8,33751522442
"59","060720","KH바텍","KOSDAQ","IT부품",15680,-270,-1.69,371262290560
